Epoch 3 It 7500 | Test PP = 1434.47189973729
Epoch 3 It 8000 | Dev PP = 1424.8772552234727
Epoch 3 It 8000 | Test PP = 1432.8069797611788
Epoch 3 It 8500 | Dev PP = 1420.6544678682615
Epoch 3 It 8500 | Test PP = 1427.0136026283856
Epoch 3 It 9000 | Dev PP = 1420.3583728643794
Epoch 3 It 9000 | Test PP = 1425.4383609201607
Epoch 3 It 9500 | Dev PP = 1415.09869124798
Epoch 3 It 9500 | Test PP = 1419.8731971097438
Epoch 3 It 10000 | Dev PP = 1417.263516805731
Epoch 3 It 10000 | Test PP = 1421.742446241789
Epoch 3 It 10500 | Dev PP = 1425.6372498541375
Epoch 3 It 10500 | Test PP = 1429.521751223458
Epoch 4 It 500 | Dev PP = 1413.7940472284681
Epoch 4 It 500 | Test PP = 1417.5727858394291
Epoch 4 It 1000 | Dev PP = 1410.1592787171703
Epoch 4 It 1000 | Test PP = 1414.2077015095197
Epoch 4 It 1500 | Dev PP = 1407.8459684256213
Epoch 4 It 1500 | Test PP = 1412.2207328286795
Epoch 4 It 2000 | Dev PP = 1407.0318362962678
Epoch 4 It 2000 | Test PP = 1411.5783894484198
Epoch 4 It 2500 | Dev PP = 1403.8460875671276
Epoch 4 It 2500 | Test PP = 1408.7316645546266
Epoch 4 It 3000 | Dev PP = 1407.9231819102517
Epoch 4 It 3000 | Test PP = 1412.8097260467093
Epoch 4 It 3500 | Dev PP = 1413.6316230021016
Epoch 4 It 3500 | Test PP = 1418.1045163609836
Epoch 4 It 4000 | Dev PP = 1410.0179283762486
Epoch 4 It 4000 | Test PP = 1414.569785192903
Epoch 4 It 4500 | Dev PP = 1415.3752359731589
Epoch 4 It 4500 | Test PP = 1420.1285445934059
Epoch 4 It 5000 | Dev PP = 1423.2625093240442
Epoch 4 It 5000 | Test PP = 1427.6981412869698
Epoch 4 It 5500 | Dev PP = 1416.1716434411821
Epoch 4 It 5500 | Test PP = 1420.9975592380754
Epoch 4 It 6000 | Dev PP = 1409.7983552400572
Epoch 4 It 6000 | Test PP = 1415.0994665874741
Epoch 4 It 6500 | Dev PP = 1416.645299760921
Epoch 4 It 6500 | Test PP = 1422.2788407182677
Epoch 4 It 7000 | Dev PP = 1436.1911599877692
Epoch 4 It 7000 | Test PP = 1442.9052417072976
Epoch 4 It 7500 | Dev PP = 1431.278656192422
Epoch 4 It 7500 | Test PP = 1438.3068043421815
Epoch 4 It 8000 | Dev PP = 1423.5788896681997
Epoch 4 It 8000 | Test PP = 1430.8459782275706
Epoch 4 It 8500 | Dev PP = 1424.7530161068755
Epoch 4 It 8500 | Test PP = 1430.2930683430052
Epoch 4 It 9000 | Dev PP = 1424.7314355247747
Epoch 4 It 9000 | Test PP = 1429.0918703265572
Epoch 4 It 9500 | Dev PP = 1419.099405410943
Epoch 4 It 9500 | Test PP = 1423.1842600108716
